"name","apple_store","google_store","review_count","primary_genre"
"PewDiePie's Tuber Simulator","5.0","4.8","90851","Games"
"Domino's Pizza USA","5.0","4.7","258624","Food & Drink"
"Egg, Inc.","5.0","4.7","79074","Games"
"Geometry Dash Lite","5.0","4.5","370370","Games"
"Bible","4.5","4.7","985920","Reference"
"Solitaire","4.5","4.7","679055","Games"
"Toy Blast","4.5","4.7","75822","Games"
"Where's My Water?","4.5","4.7","131656","Games"
"Zombie Catchers","4.5","4.7","16805","Games"
"Angry Birds Blast","4.5","4.6","24878","Games"
