"top_10","projected_lifespan","monthly_revenue","monthly_profit","primary_genre","purchase_cost","potential_profit"
"ASOS","132.0","55000.0","54000.0","Shopping","25000","7260000.00"
"Cytus","132.0","55000.0","54000.0","Games","25000","7260000.00"
"Domino's Pizza USA","132.0","55000.0","54000.0","Food & Drink","25000","7260000.00"
"Egg, Inc.","132.0","55000.0","54000.0","Games","25000","7260000.00"
"Geometry Dash Lite","132.0","55000.0","54000.0","Games","25000","7260000.00"
"PewDiePie's Tuber Simulator","132.0","55000.0","54000.0","Games","25000","7260000.00"
"The EO Bar","132.0","55000.0","54000.0","Health & Fitness","69900.00","7260000.00"
"The Guardian","132.0","55000.0","54000.0","News","25000","7260000.00"
"aa","120.0","50000.0","49000.0","Games","25000","6000000.00"
"Adobe Illustrator Draw","120.0","50000.0","49000.0","Productivity","25000","6000000.00"
